Symbol,Date,Open,High,Low,Close,AdjClose,Volume
ADANIPORTS,11/09/2016,266.25,283.5,261.850006,282.25,281.323639,459459
ADANIPORTS,11/10/2016,286.299988,296.899994,286.25,293.700012,292.736084,232041
ADANIPORTS,11/11/2016,288,292.75,273.049988,276.5,275.592529,380350
ADANIPORTS,11/15/2016,280,280.5,258.149994,266.899994,266.024017,326340
ADANIPORTS,11/16/2016,272,272.950012,261.299988,264.350006,263.482391,179646
ADANIPORTS,11/17/2016,264.350006,269.200012,262.149994,264.100006,263.233215,122536
ADANIPORTS,11/18/2016,265.299988,266,257.100006,260.799988,259.944031,221523
ADANIPORTS,11/21/2016,264.5,265.149994,246,255.149994,254.312592,424448
ADANIPORTS,11/22/2016,257,262.899994,257,260.5,259.64505,183839
ADANIPORTS,11/23/2016,264.950012,264.950012,258.600006,263.5,262.635193,200898
ADANIPORTS,11/24/2016,262.950012,262.950012,255.949997,258.049988,257.203064,205817
ADANIPORTS,11/25/2016,262,266,255.949997,265.299988,264.42926,304105
ADANIPORTS,11/28/2016,265.299988,274.200012,264.200012,272.200012,271.306641,236573
ADANIPORTS,11/29/2016,275,279.399994,268,276.299988,275.393158,340716
ADANIPORTS,11/30/2016,277.5,281.899994,276.149994,277.75,276.838409,212568
ADANIPORTS,12/01/2016,278,279.600006,272,275,274.097443,152893
ADANIPORTS,12/02/2016,275.799988,275.799988,264.799988,266.399994,265.525665,149766
ADANIPORTS,12/05/2016,266.700012,273,264.149994,269.25,268.366333,301094
ADANIPORTS,12/06/2016,273.899994,275,270.549988,272.049988,271.157104,171231
ADANIPORTS,12/07/2016,275,279.799988,271.899994,277.100006,276.190552,268878
ADANIPORTS,12/08/2016,281,288.149994,280,286.25,285.310516,396251
ADANIPORTS,12/09/2016,290,291.5,284.549988,285.75,284.812164,203068
ADANIPORTS,12/12/2016,285,285.399994,279.350006,281.399994,280.47644,65289
ADANIPORTS,12/13/2016,282,288,278.850006,286.100006,285.161011,151724
ADANIPORTS,12/14/2016,287.700012,288.299988,282.149994,283.700012,282.768921,81917
ADANIPORTS,12/15/2016,287.5,291.899994,283.25,284.549988,283.616089,427592
ADANIPORTS,12/16/2016,285,286.25,279.149994,280.100006,279.180725,129077
ADANIPORTS,12/19/2016,281,281,275.549988,276.399994,275.492859,120830
ADANIPORTS,12/20/2016,276.5,277.450012,269.100006,272.25,271.356476,184186
ADANIPORTS,12/21/2016,274,275.450012,270.600006,273.75,272.851563,118321
ADANIPORTS,12/22/2016,272.899994,272.950012,261.549988,263.899994,263.033875,204638
ADANIPORTS,12/23/2016,263.5,268.049988,259.299988,262.950012,262.087006,270625
ADANIPORTS,12/26/2016,262.950012,262.950012,257.25,259.350006,258.49881,121846
ADANIPORTS,12/27/2016,261,267.600006,258.450012,266.799988,265.924347,160559
ADANIPORTS,12/28/2016,268.950012,271.899994,266.899994,268.049988,267.170258,165580
ADANIPORTS,12/29/2016,267.899994,267.899994,262.5,264.799988,263.930908,176548
ADANIPORTS,12/30/2016,265,270.899994,264.799988,268.100006,267.220093,173937
ADANIPORTS,01/02/2017,271.899994,276.299988,267.200012,273.75,272.851563,149441
ADANIPORTS,01/03/2017,274.100006,277.549988,272.200012,274.049988,273.150543,112078
ADANIPORTS,01/04/2017,274.950012,276.950012,272.700012,274.350006,273.449585,115074
ADANIPORTS,01/05/2017,276,289.100006,275.399994,287.75,286.805603,335191
ADANIPORTS,01/06/2017,288.950012,291.700012,284.899994,285.450012,284.513153,244242
ADANIPORTS,01/09/2017,287.100006,288.600006,282.950012,284.799988,283.865265,157000
ADANIPORTS,01/10/2017,287.799988,294.950012,285.100006,294.049988,293.0849,328713
ADANIPORTS,01/11/2017,295,299.649994,294,295.700012,294.729523,209529
ADANIPORTS,01/12/2017,296.600006,298.899994,290.100006,293.149994,292.187866,198488
ADANIPORTS,1/13/2017,297.899994,298,290.649994,293.649994,292.686218,160583
ADANIPORTS,1/16/2017,293,302.200012,292.700012,299.850006,298.865906,286360
ADANIPORTS,1/17/2017,300,301.75,292.700012,294.549988,293.583282,267393
ADANIPORTS,1/18/2017,296,300.299988,290.600006,291.799988,290.842285,205777
ADANIPORTS,1/19/2017,292.100006,297.399994,292.100006,295,294.031799,234664
ADANIPORTS,1/20/2017,294.899994,296.200012,283.600006,284.399994,283.466583,269660
ADANIPORTS,1/23/2017,284.25,289.350006,284.25,286.350006,285.410217,142320
ADANIPORTS,1/24/2017,288.350006,294.799988,286.950012,293.25,292.287537,126164
ADANIPORTS,1/25/2017,296.25,305.799988,294.5,303.850006,302.852753,353282
